country,period,counterpart_type,Bilateral,Bilateral data,China,China data,Multilateral,Multilateral data,Private,Private data
Montenegro,2024-2025 (projected),China,,,135205434.4,,,,,
Montenegro,2024-2025 (projected),Multilateral,,,,,105776945.0,,,
Montenegro,2024-2025 (projected),Private,,,,,,,366680370.3,
Morocco,2010-2014,Bilateral,,769035437.92,,,,,,
Morocco,2010-2014,China,,,,59197088.24,,,,
Morocco,2010-2014,Multilateral,,,,,,1206092639.28,,
Morocco,2010-2014,Private,,,,,,,,426366552.88
Morocco,2018-2022,Bilateral,934218843.44,934218843.44,,,,,,
Morocco,2018-2022,China,,,65367025.22,65367025.22,,,,
Morocco,2018-2022,Multilateral,,,,,1500464577.76,1500464577.76,,
Morocco,2018-2022,Private,,,,,,,1453101327.12,1453101327.12
Morocco,2024-2025 (projected),Bilateral,842563912.95,,,,,,,
Morocco,2024-2025 (projected),China,,,50906709.6,,,,,
Morocco,2024-2025 (projected),Multilateral,,,,,2862261778.8,,,
Morocco,2024-2025 (projected),Private,,,,,,,2507632699.05,
Mozambique,2010-2014,Bilateral,,33069009.96,,,,,,
Mozambique,2010-2014,China,,,,8878620.1,,,,
Mozambique,2010-2014,Multilateral,,,,,,61193800.34,,
Mozambique,2010-2014,Private,,,,,,,,62814049.92
Mozambique,2018-2022,Bilateral,62507293.62,62507293.62,,,,,,
Mozambique,2018-2022,China,,,161261504.58,161261504.58,,,,
Mozambique,2018-2022,Multilateral,,,,,119182891.36,119182891.36,,
Mozambique,2018-2022,Private,,,,,,,220827272.62,220827272.62
Mozambique,2024-2025 (projected),Bilateral,267961041.85,,,,,,,
Mozambique,2024-2025 (projected),China,,,257556712.2,,,,,
Mozambique,2024-2025 (projected),Multilateral,,,,,225291607.9,,,
Mozambique,2024-2025 (projected),Private,,,,,,,122247112.1,
Myanmar,2010-2014,Bilateral,,546075037.3,,,,,,
Myanmar,2010-2014,China,,,,149989856.9,,,,
Myanmar,2010-2014,Multilateral,,,,,,218128362.34,,
Myanmar,2010-2014,Private,,,,,,,,23716394.06
Myanmar,2018-2022,Bilateral,162225873.52,162225873.52,,,,,,
Myanmar,2018-2022,China,,,460266815.62,460266815.62,,,,
Myanmar,2018-2022,Multilateral,,,,,74995135.8,74995135.8,,
Myanmar,2018-2022,Private,,,,,,,32113323.52,32113323.52
Myanmar,2024-2025 (projected),Bilateral,436698175.15,,,,,,,
Myanmar,2024-2025 (projected),China,,,437226081.9,,,,,
Myanmar,2024-2025 (projected),Multilateral,,,,,153840496.1,,,
Myanmar,2024-2025 (projected),Private,,,,,,,10497.5,
Nepal,2010-2014,Bilateral,,37148080.98,,,,,,
Nepal,2010-2014,China,,,,711830.82,,,,
Nepal,2010-2014,Multilateral,,,,,,158494773.3,,
Nepal,2010-2014,Private,,,,,,,,570047.7
Nepal,2018-2022,Bilateral,34633225.8,34633225.8,,,,,,
Nepal,2018-2022,China,,,4334493.16,4334493.16,,,,
Nepal,2018-2022,Multilateral,,,,,221846694.6,221846694.6,,
Nepal,2018-2022,Private,,,,,,,23839.8,23839.8
Nepal,2024-2025 (projected),Bilateral,130945576.1,,,,,,,
Nepal,2024-2025 (projected),China,,,44468957.1,,,,,
Nepal,2024-2025 (projected),Multilateral,,,,,368691969.2,,,
Nepal,2024-2025 (projected),Private,,,,,,,228919.2,
Nicaragua,2010-2014,Bilateral,,31533912.02,,,,,,
Nicaragua,2010-2014,Multilateral,,,,,,67396994.54,,
Nicaragua,2010-2014,Private,,,,,,,,905792.94
Nicaragua,2018-2022,Bilateral,47058112.64,47058112.64,,,,,,
Nicaragua,2018-2022,Multilateral,,,,,284118028.42,284118028.42,,
Nicaragua,2018-2022,Private,,,,,,,2559221.18,2559221.18
Nicaragua,2024-2025 (projected),Bilateral,56577494.15,,,,,,,
Nicaragua,2024-2025 (projected),China,,,1640004.15,,,,,
Nicaragua,2024-2025 (projected),Multilateral,,,,,763342414.9,,,
Nicaragua,2024-2025 (projected),Private,,,,,,,944439.4,
Niger,2010-2014,Bilateral,,4180767.9,,,,,,
Niger,2010-2014,China,,,,16540759.34,,,,
Niger,2010-2014,Multilateral,,,,,,28324665.66,,
Niger,2018-2022,Bilateral,14847452.28,14847452.28,,,,,,
Niger,2018-2022,China,,,37897844.88,37897844.88,,,,
Niger,2018-2022,Multilateral,,,,,115597543.74,115597543.74,,
Niger,2018-2022,Private,,,,,,,6843017.0,6843017.0
Niger,2024-2025 (projected),Bilateral,49956984.1,,,,,,,
Niger,2024-2025 (projected),China,,,20071839.25,,,,,
Niger,2024-2025 (projected),Multilateral,,,,,272811448.05,,,
Niger,2024-2025 (projected),Private,,,,,,,26278478.6,
Nigeria,2010-2014,Bilateral,,826684.46,,,,,,
Nigeria,2010-2014,China,,,,95573805.0,,,,
Nigeria,2010-2014,Multilateral,,,,,,177576282.54,,
Nigeria,2010-2014,Private,,,,,,,,39489200.0
Nigeria,2018-2022,Bilateral,60384455.32,60384455.32,,,,,,
Nigeria,2018-2022,China,,,200125544.72,200125544.72,,,,
Nigeria,2018-2022,Multilateral,,,,,447309713.02,447309713.02,,
Nigeria,2018-2022,Private,,,,,,,1282721725.48,1282721725.48
Nigeria,2024-2025 (projected),Bilateral,159556839.25,,,,,,,
Nigeria,2024-2025 (projected),China,,,493365467.15,,,,,
Nigeria,2024-2025 (projected),Multilateral,,,,,1538472219.0,,,
Nigeria,2024-2025 (projected),Private,,,,,,,2167549473.1,
North Macedonia,2010-2014,Bilateral,,16902223.12,,,,,,
North Macedonia,2010-2014,China,,,,11739598.44,,,,
North Macedonia,2010-2014,Multilateral,,,,,,129895966.26,,
North Macedonia,2010-2014,Private,,,,,,,,110284129.06
North Macedonia,2018-2022,Bilateral,20442715.54,20442715.54,,,,,,
North Macedonia,2018-2022,China,,,35928600.0,35928600.0,,,,
North Macedonia,2018-2022,Multilateral,,,,,166403675.62,166403675.62,,
North Macedonia,2018-2022,Private,,,,,,,354599147.58,354599147.58
North Macedonia,2024-2025 (projected),Bilateral,32358155.9,,,,,,,
North Macedonia,2024-2025 (projected),China,,,68888047.6,,,,,
North Macedonia,2024-2025 (projected),Multilateral,,,,,389850976.05,,,
North Macedonia,2024-2025 (projected),Private,,,,,,,778389661.8,
Pakistan,2010-2014,Bilateral,,585114817.8,,,,,,
Pakistan,2010-2014,China,,,,222993396.4,,,,
Pakistan,2010-2014,Multilateral,,,,,,1382817710.88,,
Pakistan,2010-2014,Private,,,,,,,,263864400.0
Pakistan,2018-2022,Bilateral,1165535691.6,1165535691.6,,,,,,
Pakistan,2018-2022,China,,,2650111604.54,2650111604.54,,,,
Pakistan,2018-2022,Multilateral,,,,,2341084387.02,2341084387.02,,
Pakistan,2018-2022,Private,,,,,,,2958312252.22,2958312252.22
Pakistan,2024-2025 (projected),Bilateral,5926543729.7,,,,,,,
Pakistan,2024-2025 (projected),China,,,5950315156.45,,,,,
Pakistan,2024-2025 (projected),Multilateral,,,,,3845849758.15,,,
Pakistan,2024-2025 (projected),Private,,,,,,,1463106738.1,
Papua New Guinea,2010-2014,Bilateral,,28606219.74,,,,,,
Papua New Guinea,2010-2014,China,,,,2750883.18,,,,
Papua New Guinea,2010-2014,Multilateral,,,,,,54090326.1,,
Papua New Guinea,2010-2014,Private,,,,,,,,7670220.12
Papua New Guinea,2018-2022,Bilateral,85255908.04,85255908.04,,,,,,
Papua New Guinea,2018-2022,China,,,44663291.52,44663291.52,,,,
Papua New Guinea,2018-2022,Multilateral,,,,,119127285.02,119127285.02,,
Papua New Guinea,2018-2022,Private,,,,,,,273767347.34,273767347.34
Papua New Guinea,2024-2025 (projected),Bilateral,243362400.7,,,,,,,
Papua New Guinea,2024-2025 (projected),China,,,114951363.6,,,,,
Papua New Guinea,2024-2025 (projected),Multilateral,,,,,353176405.4,,,
Papua New Guinea,2024-2025 (projected),Private,,,,,,,56980234.0,
Paraguay,2010-2014,Bilateral,,67570314.26,,,,,,
Paraguay,2010-2014,Multilateral,,,,,,179802546.62,,
Paraguay,2010-2014,Private,,,,,,,,43276480.0
Paraguay,2018-2022,Bilateral,42128697.8,42128697.8,,,,,,
Paraguay,2018-2022,Multilateral,,,,,283374932.72,283374932.72,,
Paraguay,2018-2022,Private,,,,,,,371056000.0,371056000.0
Paraguay,2024-2025 (projected),Bilateral,30196897.4,,,,,,,
Paraguay,2024-2025 (projected),Multilateral,,,,,1009646520.25,,,
Paraguay,2024-2025 (projected),Private,,,,,,,338497000.0,
Peru,2010-2014,Bilateral,,506969992.52,,,,,,
Peru,2010-2014,China,,,,326000.0,,,,
Peru,2010-2014,Multilateral,,,,,,1351139861.28,,
Peru,2010-2014,Private,,,,,,,,1037531466.22
Peru,2018-2022,Bilateral,134671979.82,134671979.82,,,,,,
Peru,2018-2022,Multilateral,,,,,650638511.54,650638511.54,,
Peru,2018-2022,Private,,,,,,,1126051885.8,1126051885.8
Peru,2024-2025 (projected),Bilateral,161799205.3,,,,,,,
Peru,2024-2025 (projected),Multilateral,,,,,1358411027.4,,,
Peru,2024-2025 (projected),Private,,,,,,,1629674835.0,
Philippines,2010-2014,Bilateral,,1311834011.14,,,,,,
Philippines,2010-2014,China,,,,34432636.86,,,,
Philippines,2010-2014,Multilateral,,,,,,932052879.14,,
Philippines,2010-2014,Private,,,,,,,,4444187502.64
Philippines,2018-2022,Bilateral,652015313.14,652015313.14,,,,,,
Philippines,2018-2022,China,,,31738820.92,31738820.92,,,,
Philippines,2018-2022,Multilateral,,,,,1042271085.06,1042271085.06,,
Philippines,2018-2022,Private,,,,,,,4297906132.6,4297906132.6
Philippines,2024-2025 (projected),Bilateral,558359718.55,,,,,,,
Philippines,2024-2025 (projected),China,,,209204223.25,,,,,
Philippines,2024-2025 (projected),Multilateral,,,,,3714240740.95,,,
Philippines,2024-2025 (projected),Private,,,,,,,2260153346.85,
Rwanda,2010-2014,Bilateral,,3856107.76,,,,,,
Rwanda,2010-2014,China,,,,926014.94,,,,
Rwanda,2010-2014,Multilateral,,,,,,15767007.2,,
Rwanda,2010-2014,Private,,,,,,,,8070000.0
Rwanda,2018-2022,Bilateral,17690816.3,17690816.3,,,,,,
Rwanda,2018-2022,China,,,11431489.86,11431489.86,,,,
Rwanda,2018-2022,Multilateral,,,,,56090209.22,56090209.22,,
Rwanda,2018-2022,Private,,,,,,,96457200.0,96457200.0
Rwanda,2024-2025 (projected),Bilateral,50541967.6,,,,,,,
Rwanda,2024-2025 (projected),China,,,23179051.6,,,,,
Rwanda,2024-2025 (projected),Multilateral,,,,,190408466.3,,,
Rwanda,2024-2025 (projected),Private,,,,,,,78606062.5,
Samoa,2010-2014,Bilateral,,137947.48,,,,,,
Samoa,2010-2014,China,,,,3778685.54,,,,
Samoa,2010-2014,Multilateral,,,,,,10021737.66,,
Samoa,2018-2022,Bilateral,1430124.34,1430124.34,,,,,,
Samoa,2018-2022,China,,,10677970.42,10677970.42,,,,
Samoa,2018-2022,Multilateral,,,,,12846596.6,12846596.6,,
Samoa,2024-2025 (projected),Bilateral,1853354.35,,,,,,,
Samoa,2024-2025 (projected),China,,,17523221.8,,,,,
Samoa,2024-2025 (projected),Multilateral,,,,,12141698.6,,,
Sao Tome and Principe,2010-2014,Bilateral,,4784687.54,,,,,,
Sao Tome and Principe,2010-2014,Multilateral,,,,,,1634411.88,,
Sao Tome and Principe,2018-2022,Bilateral,1422228.94,1422228.94,,,,,,
Sao Tome and Principe,2018-2022,Multilateral,,,,,3410284.34,3410284.34,,
Sao Tome and Principe,2024-2025 (projected),Bilateral,12497615.6,,,,,,,
Sao Tome and Principe,2024-2025 (projected),Multilateral,,,,,12524594.95,,,
Sao Tome and Principe,2024-2025 (projected),Private,,,,,,,2559615.4,
Senegal,2010-2014,Bilateral,,80160068.94,,,,,,
Senegal,2010-2014,China,,,,21297704.96,,,,
Senegal,2010-2014,Multilateral,,,,,,76326478.5,,
Senegal,2010-2014,Private,,,,,,,,42823733.84
Senegal,2018-2022,Bilateral,155381585.56,155381585.56,,,,,,
Senegal,2018-2022,China,,,110907748.72,110907748.72,,,,
Senegal,2018-2022,Multilateral,,,,,223905420.94,223905420.94,,
Senegal,2018-2022,Private,,,,,,,439472372.54,439472372.54
Senegal,2024-2025 (projected),Bilateral,278249797.0,,,,,,,
Senegal,2024-2025 (projected),China,,,202931192.35,,,,,
Senegal,2024-2025 (projected),Multilateral,,,,,682343465.2,,,
Senegal,2024-2025 (projected),Private,,,,,,,875322303.4,
Serbia,2010-2014,Bilateral,,234092719.08,,,,,,
Serbia,2010-2014,China,,,,24713544.92,,,,
Serbia,2010-2014,Multilateral,,,,,,457606652.66,,
Serbia,2010-2014,Private,,,,,,,,449253667.54
Serbia,2018-2022,Bilateral,537172636.06,537172636.06,,,,,,
Serbia,2018-2022,China,,,121337644.34,121337644.34,,,,
Serbia,2018-2022,Multilateral,,,,,695202606.28,695202606.28,,
Serbia,2018-2022,Private,,,,,,,1173182891.14,1173182891.14
Serbia,2024-2025 (projected),Bilateral,891214223.35,,,,,,,
Serbia,2024-2025 (projected),China,,,183904289.05,,,,,
Serbia,2024-2025 (projected),Multilateral,,,,,914179376.6,,,
Serbia,2024-2025 (projected),Private,,,,,,,528661969.25,
Sierra Leone,2010-2014,Bilateral,,2851410.62,,,,,,
Sierra Leone,2010-2014,China,,,,1166792.56,,,,
Sierra Leone,2010-2014,Multilateral,,,,,,10905579.8,,
Sierra Leone,2018-2022,Bilateral,8969964.0,8969964.0,,,,,,
Sierra Leone,2018-2022,China,,,2685405.78,2685405.78,,,,
Sierra Leone,2018-2022,Multilateral,,,,,35458214.06,35458214.06,,
Sierra Leone,2018-2022,Private,,,,,,,5702000.0,5702000.0
Sierra Leone,2024-2025 (projected),Bilateral,15831506.7,,,,,,,
Sierra Leone,2024-2025 (projected),China,,,8072112.65,,,,,
Sierra Leone,2024-2025 (projected),Multilateral,,,,,59669254.55,,,
Solomon Islands,2010-2014,Bilateral,,2256320.3,,,,,,
Solomon Islands,2010-2014,Multilateral,,,,,,6140269.8,,
Solomon Islands,2010-2014,Private,,,,,,,,49770.28
Solomon Islands,2018-2022,Bilateral,1393283.36,1393283.36,,,,,,
Solomon Islands,2018-2022,Multilateral,,,,,4813402.94,4813402.94,,
Solomon Islands,2024-2025 (projected),Bilateral,2261541.2,,,,,,,
Solomon Islands,2024-2025 (projected),China,,,297189.1,,,,,
Solomon Islands,2024-2025 (projected),Multilateral,,,,,6816683.35,,,
Somalia,2018-2022,Multilateral,,,,,102575247.06,102575247.06,,
Somalia,2024-2025 (projected),Bilateral,43087024.2,,,,,,,
Somalia,2024-2025 (projected),Multilateral,,,,,15047895.6,,,
South Africa,2010-2014,Bilateral,,6070451.24,,,,,,
South Africa,2010-2014,Multilateral,,,,,,97435180.4,,
South Africa,2010-2014,Private,,,,,,,,5066821226.5
South Africa,2018-2022,Bilateral,61950569.12,61950569.12,,,,,,
South Africa,2018-2022,China,,,72870200.0,72870200.0,,,,
South Africa,2018-2022,Multilateral,,,,,637758381.14,637758381.14,,
South Africa,2018-2022,Private,,,,,,,11127407585.68,11127407585.68
South Africa,2024-2025 (projected),Bilateral,75485681.0,,,,,,,
South Africa,2024-2025 (projected),China,,,405428000.0,,,,,
South Africa,2024-2025 (projected),Multilateral,,,,,838726510.9,,,
South Africa,2024-2025 (projected),Private,,,,,,,9975028531.7,
Sri Lanka,2010-2014,Bilateral,,453417386.82,,,,,,
Sri Lanka,2010-2014,China,,,,160641170.14,,,,
Sri Lanka,2010-2014,Multilateral,,,,,,282223935.66,,
Sri Lanka,2010-2014,Private,,,,,,,,839200545.6
Sri Lanka,2018-2022,Bilateral,469273225.46,469273225.46,,,,,,
Sri Lanka,2018-2022,China,,,578960683.28,578960683.28,,,,
Sri Lanka,2018-2022,Multilateral,,,,,573877263.02,573877263.02,,
Sri Lanka,2018-2022,Private,,,,,,,2361269283.62,2361269283.62
Sri Lanka,2024-2025 (projected),Bilateral,1724065066.7,,,,,,,
Sri Lanka,2024-2025 (projected),China,,,1949218426.6,,,,,
Sri Lanka,2024-2025 (projected),Multilateral,,,,,1132261143.5,,,
Sri Lanka,2024-2025 (projected),Private,,,,,,,2653862231.85,
St. Lucia,2010-2014,Bilateral,,3216816.46,,,,,,
St. Lucia,2010-2014,Multilateral,,,,,,21257919.06,,
St. Lucia,2010-2014,Private,,,,,,,,15069449.96
St. Lucia,2018-2022,Bilateral,5528992.56,5528992.56,,,,,,
St. Lucia,2018-2022,Multilateral,,,,,20891728.92,20891728.92,,
St. Lucia,2018-2022,Private,,,,,,,18512785.18,18512785.18
St. Lucia,2024-2025 (projected),Bilateral,22437167.9,,,,,,,
St. Lucia,2024-2025 (projected),Multilateral,,,,,28475747.6,,,
St. Lucia,2024-2025 (projected),Private,,,,,,,23437555.55,
St. Vincent and the Grenadines,2010-2014,Bilateral,,2937582.44,,,,,,
St. Vincent and the Grenadines,2010-2014,China,,,,164740.2,,,,
St. Vincent and the Grenadines,2010-2014,Multilateral,,,,,,17424920.68,,
St. Vincent and the Grenadines,2010-2014,Private,,,,,,,,13092331.5
St. Vincent and the Grenadines,2018-2022,Bilateral,6261367.08,6261367.08,,,,,,
St. Vincent and the Grenadines,2018-2022,Multilateral,,,,,26858931.2,26858931.2,,
St. Vincent and the Grenadines,2018-2022,Private,,,,,,,4898688.84,4898688.84
St. Vincent and the Grenadines,2024-2025 (projected),Bilateral,9606716.7,,,,,,,
St. Vincent and the Grenadines,2024-2025 (projected),China,,,2081000.0,,,,,
St. Vincent and the Grenadines,2024-2025 (projected),Multilateral,,,,,38655676.35,,,
St. Vincent and the Grenadines,2024-2025 (projected),Private,,,,,,,2102798.15,
Sudan,2010-2014,Bilateral,,71109886.72,,,,,,
Sudan,2010-2014,China,,,,198373952.22,,,,
Sudan,2010-2014,Multilateral,,,,,,109216651.88,,
Sudan,2018-2022,Bilateral,28154820.24,28154820.24,,,,,,
Sudan,2018-2022,China,,,91571002.0,91571002.0,,,,
Sudan,2018-2022,Multilateral,,,,,357364450.18,357364450.18,,
Sudan,2024-2025 (projected),Bilateral,140630648.6,,,,,,,
Sudan,2024-2025 (projected),China,,,163473950.9,,,,,
Sudan,2024-2025 (projected),Multilateral,,,,,275592150.95,,,
Suriname,2018-2022,Bilateral,4806455.3,4806455.3,,,,,,
Suriname,2018-2022,China,,,17376626.42,17376626.42,,,,
Suriname,2018-2022,Multilateral,,,,,70725386.42,70725386.42,,
Suriname,2018-2022,Private,,,,,,,35543856.3,35543856.3
Suriname,2024-2025 (projected),Bilateral,27537995.4,,,,,,,
Suriname,2024-2025 (projected),China,,,77198309.2,,,,,
Suriname,2024-2025 (projected),Multilateral,,,,,152241938.6,,,
Suriname,2024-2025 (projected),Private,,,,,,,76095436.1,
Syria,2010-2014,Bilateral,,162774138.28,,,,,,
Syria,2010-2014,China,,,,1011537.24,,,,
Syria,2010-2014,Multilateral,,,,,,82910750.04,,
Syria,2010-2014,Private,,,,,,,,1059486.2
Syria,2018-2022,Bilateral,2613511.08,2613511.08,,,,,,
Syria,2018-2022,Multilateral,,,,,1008673.08,1008673.08,,
Syria,2018-2022,Private,,,,,,,465924.42,465924.42
Syria,2024-2025 (projected),Bilateral,24607471.25,,,,,,,
Syria,2024-2025 (projected),Multilateral,,,,,29176171.35,,,
Syria,2024-2025 (projected),Private,,,,,,,279012.5,
Tajikistan,2010-2014,Bilateral,,18118089.1,,,,,,
Tajikistan,2010-2014,China,,,,37161941.46,,,,
Tajikistan,2010-2014,Multilateral,,,,,,41969708.28,,
Tajikistan,2010-2014,Private,,,,,,,,387279.14
Tajikistan,2018-2022,Bilateral,11926725.12,11926725.12,,,,,,
Tajikistan,2018-2022,China,,,81443853.54,81443853.54,,,,
Tajikistan,2018-2022,Multilateral,,,,,82679988.3,82679988.3,,
Tajikistan,2018-2022,Private,,,,,,,35544604.5,35544604.5
Tajikistan,2024-2025 (projected),Bilateral,16533371.45,,,,,,,
Tajikistan,2024-2025 (projected),China,,,123075382.25,,,,,
Tajikistan,2024-2025 (projected),Multilateral,,,,,178953556.75,,,
Tajikistan,2024-2025 (projected),Private,,,,,,,117505983.35,
Tanzania,2010-2014,Bilateral,,10419954.16,,,,,,
Tanzania,2010-2014,China,,,,10269032.94,,,,
Tanzania,2010-2014,Multilateral,,,,,,63836239.46,,
Tanzania,2010-2014,Private,,,,,,,,46957239.08
Tanzania,2018-2022,Bilateral,99500733.06,99500733.06,,,,,,
Tanzania,2018-2022,China,,,269056083.66,269056083.66,,,,
Tanzania,2018-2022,Multilateral,,,,,233672699.76,233672699.76,,
Tanzania,2018-2022,Private,,,,,,,668623541.56,668623541.56
Tanzania,2024-2025 (projected),Bilateral,201711993.3,,,,,,,
Tanzania,2024-2025 (projected),China,,,270972276.9,,,,,
Tanzania,2024-2025 (projected),Multilateral,,,,,645949449.05,,,
Tanzania,2024-2025 (projected),Private,,,,,,,1483262810.05,
Thailand,2010-2014,Bilateral,,692531897.32,,,,,,
Thailand,2010-2014,Multilateral,,,,,,43542789.4,,
Thailand,2010-2014,Private,,,,,,,,856522274.64
Thailand,2018-2022,Bilateral,546806271.8,546806271.8,,,,,,
Thailand,2018-2022,Multilateral,,,,,134097000.0,134097000.0,,
Thailand,2018-2022,Private,,,,,,,2101562447.56,2101562447.56
Thailand,2024-2025 (projected),Bilateral,226900869.75,,,,,,,
Thailand,2024-2025 (projected),Multilateral,,,,,617555250.3,,,
Thailand,2024-2025 (projected),Private,,,,,,,2044482000.0,
Timor-Leste,2010-2014,Multilateral,,,,,,44600.0,,
Timor-Leste,2018-2022,Bilateral,72014.56,72014.56,,,,,,
Timor-Leste,2018-2022,Multilateral,,,,,8401600.0,8401600.0,,
Timor-Leste,2024-2025 (projected),Bilateral,3368821.9,,,,,,,
Timor-Leste,2024-2025 (projected),Multilateral,,,,,30056368.75,,,
Togo,2010-2014,Bilateral,,8746055.8,,,,,,
Togo,2010-2014,China,,,,2421718.4,,,,
Togo,2010-2014,Multilateral,,,,,,18390482.6,,
Togo,2010-2014,Private,,,,,,,,4782639.3
Togo,2018-2022,Bilateral,9727723.36,9727723.36,,,,,,
Togo,2018-2022,China,,,31091634.24,31091634.24,,,,
Togo,2018-2022,Multilateral,,,,,50616866.92,50616866.92,,
Togo,2018-2022,Private,,,,,,,17743728.64,17743728.64
Togo,2024-2025 (projected),Bilateral,32163361.8,,,,,,,
Togo,2024-2025 (projected),China,,,61829024.75,,,,,
Togo,2024-2025 (projected),Multilateral,,,,,133984289.45,,,
Togo,2024-2025 (projected),Private,,,,,,,53826155.35,
Tonga,2010-2014,China,,,,2650239.08,,,,
Tonga,2010-2014,Multilateral,,,,,,3186776.28,,
Tonga,2010-2014,Private,,,,,,,,264422.92
Tonga,2018-2022,China,,,3895646.18,3895646.18,,,,
Tonga,2018-2022,Multilateral,,,,,3398604.4,3398604.4,,
Tonga,2024-2025 (projected),China,,,17625136.1,,,,,
Tonga,2024-2025 (projected),Multilateral,,,,,3919024.15,,,
Tunisia,2010-2014,Bilateral,,361239367.58,,,,,,
Tunisia,2010-2014,China,,,,8957733.78,,,,
Tunisia,2010-2014,Multilateral,,,,,,888704969.56,,
Tunisia,2010-2014,Private,,,,,,,,754238947.48
Tunisia,2018-2022,Bilateral,537325322.54,537325322.54,,,,,,
Tunisia,2018-2022,China,,,8939972.34,8939972.34,,,,
Tunisia,2018-2022,Multilateral,,,,,1079254295.86,1079254295.86,,
Tunisia,2018-2022,Private,,,,,,,999817636.74,999817636.74
Tunisia,2024-2025 (projected),Bilateral,1153695004.3,,,,,,,
Tunisia,2024-2025 (projected),China,,,7985838.65,,,,,
Tunisia,2024-2025 (projected),Multilateral,,,,,1753810810.05,,,
Tunisia,2024-2025 (projected),Private,,,,,,,1386417693.2,
Turkmenistan,2010-2014,Bilateral,,90105689.28,,,,,,
Turkmenistan,2010-2014,China,,,,438733387.52,,,,
Turkmenistan,2010-2014,Multilateral,,,,,,13034332.42,,
Turkmenistan,2010-2014,Private,,,,,,,,3121200.0
Turkmenistan,2018-2022,Bilateral,824725703.84,824725703.84,,,,,,
Turkmenistan,2018-2022,China,,,764811158.86,764811158.86,,,,
Turkmenistan,2018-2022,Multilateral,,,,,45664419.72,45664419.72,,
Turkmenistan,2018-2022,Private,,,,,,,116166495.82,116166495.82
Turkmenistan,2024-2025 (projected),Bilateral,440617133.05,,,,,,,
Turkmenistan,2024-2025 (projected),China,,,21141032.75,,,,,
Turkmenistan,2024-2025 (projected),Multilateral,,,,,194234479.3,,,
Turkmenistan,2024-2025 (projected),Private,,,,,,,209407202.2,
Türkiye,2010-2014,Bilateral,,643279750.74,,,,,,
Türkiye,2010-2014,China,,,,16969951.62,,,,
Türkiye,2010-2014,Multilateral,,,,,,1757895520.68,,
Türkiye,2010-2014,Private,,,,,,,,8356239132.7
Türkiye,2018-2022,Bilateral,1349401707.8,1349401707.8,,,,,,
Türkiye,2018-2022,China,,,363103729.76,363103729.76,,,,
Türkiye,2018-2022,Multilateral,,,,,2851888014.2,2851888014.2,,
Türkiye,2018-2022,Private,,,,,,,14702168249.28,14702168249.28
Türkiye,2024-2025 (projected),Bilateral,1539098553.05,,,,,,,
Türkiye,2024-2025 (projected),China,,,274498295.45,,,,,
Türkiye,2024-2025 (projected),Multilateral,,,,,3985895120.9,,,
Türkiye,2024-2025 (projected),Private,,,,,,,22745002764.75,
Uganda,2010-2014,Bilateral,,11375146.9,,,,,,
Uganda,2010-2014,China,,,,6832995.04,,,,
Uganda,2010-2014,Multilateral,,,,,,54582124.54,,
Uganda,2010-2014,Private,,,,,,,,41516.4
Uganda,2018-2022,Bilateral,52229250.2,52229250.2,,,,,,
Uganda,2018-2022,China,,,152125188.54,152125188.54,,,,
Uganda,2018-2022,Multilateral,,,,,208524845.8,208524845.8,,
Uganda,2018-2022,Private,,,,,,,28507310.02,28507310.02
Uganda,2024-2025 (projected),Bilateral,134150981.8,,,,,,,
Uganda,2024-2025 (projected),China,,,369654605.4,,,,,
Uganda,2024-2025 (projected),Multilateral,,,,,555680230.3,,,
Uganda,2024-2025 (projected),Private,,,,,,,137299086.85,
Uzbekistan,2010-2014,Bilateral,,141998109.58,,,,,,
Uzbekistan,2010-2014,China,,,,43045996.54,,,,
Uzbekistan,2010-2014,Multilateral,,,,,,122126956.76,,
Uzbekistan,2010-2014,Private,,,,,,,,70858298.28
Uzbekistan,2018-2022,Bilateral,129830855.2,129830855.2,,,,,,
Uzbekistan,2018-2022,China,,,190533084.54,190533084.54,,,,
Uzbekistan,2018-2022,Multilateral,,,,,400157271.4,400157271.4,,
Uzbekistan,2018-2022,Private,,,,,,,156091323.32,156091323.32
Uzbekistan,2024-2025 (projected),Bilateral,430812007.85,,,,,,,
Uzbekistan,2024-2025 (projected),China,,,332780964.25,,,,,
Uzbekistan,2024-2025 (projected),Multilateral,,,,,1625468650.35,,,
Uzbekistan,2024-2025 (projected),Private,,,,,,,783427922.05,
Vanuatu,2010-2014,Bilateral,,410865.02,,,,,,
Vanuatu,2010-2014,China,,,,1698919.16,,,,
Vanuatu,2010-2014,Multilateral,,,,,,3527053.18,,
Vanuatu,2018-2022,Bilateral,444198.4,444198.4,,,,,,
Vanuatu,2018-2022,China,,,12864353.64,12864353.64,,,,
Vanuatu,2018-2022,Multilateral,,,,,4146200.0,4146200.0,,
Vanuatu,2024-2025 (projected),Bilateral,1585913.15,,,,,,,
Vanuatu,2024-2025 (projected),China,,,11683834.0,,,,,
Vanuatu,2024-2025 (projected),Multilateral,,,,,5895716.6,,,
Vietnam,2010-2014,Bilateral,,857108224.76,,,,,,
Vietnam,2010-2014,China,,,,228550648.14,,,,
Vietnam,2010-2014,Multilateral,,,,,,469254497.0,,
Vietnam,2010-2014,Private,,,,,,,,857759763.44
