period,country,counterpart_type,prices,value
2024-2025 (projected),Laos,Bilateral,current,276620919.95
2024-2025 (projected),Laos,China,current,1211569792.05
2024-2025 (projected),Laos,Multilateral,current,153197291.65
2024-2025 (projected),Laos,Private,current,391302913.2
2024-2025 (projected),Lebanon,Bilateral,current,95334985.8
2024-2025 (projected),Lebanon,Multilateral,current,352029382.75
2024-2025 (projected),Lebanon,Private,current,3028041892.85
2024-2025 (projected),Lesotho,Bilateral,current,11963326.45
2024-2025 (projected),Lesotho,China,current,17542896.75
2024-2025 (projected),Lesotho,Multilateral,current,61360034.05
2024-2025 (projected),Lesotho,Private,current,406971.5
2024-2025 (projected),Liberia,Bilateral,current,4191458.2
2024-2025 (projected),Liberia,China,current,3984832.25
2024-2025 (projected),Liberia,Multilateral,current,40148267.4
2024-2025 (projected),Low income,Bilateral,current,3867112432.15
2024-2025 (projected),Low income,China,current,3677030261.4
2024-2025 (projected),Low income,Multilateral,current,4086193062.7
2024-2025 (projected),Low income,Private,current,1953321842.75
2024-2025 (projected),Lower middle income,Bilateral,current,24948866473.15
2024-2025 (projected),Lower middle income,China,current,25219240732.65
2024-2025 (projected),Lower middle income,Multilateral,current,50282646165.0
2024-2025 (projected),Lower middle income,Private,current,64136015385.0
2024-2025 (projected),Madagascar,Bilateral,current,32603606.25
2024-2025 (projected),Madagascar,China,current,20558906.4
2024-2025 (projected),Madagascar,Multilateral,current,195694610.4
2024-2025 (projected),Madagascar,Private,current,40549071.7
2024-2025 (projected),Malawi,Bilateral,current,20679508.0
2024-2025 (projected),Malawi,China,current,21405653.75
2024-2025 (projected),Malawi,Multilateral,current,108823400.55
2024-2025 (projected),Maldives,Bilateral,current,120955962.55
2024-2025 (projected),Maldives,China,current,191402253.6
2024-2025 (projected),Maldives,Multilateral,current,123103804.0
2024-2025 (projected),Maldives,Private,current,171712738.45
2024-2025 (projected),Mali,Bilateral,current,126625162.7
2024-2025 (projected),Mali,China,current,77591841.2
2024-2025 (projected),Mali,Multilateral,current,255494202.55
2024-2025 (projected),Mauritania,Bilateral,current,143547617.1
2024-2025 (projected),Mauritania,China,current,75203985.15
2024-2025 (projected),Mauritania,Multilateral,current,283907705.0
2024-2025 (projected),Mauritius,Bilateral,current,99926321.85
2024-2025 (projected),Mauritius,China,current,35027501.55
2024-2025 (projected),Mauritius,Multilateral,current,115687062.45
2024-2025 (projected),Mauritius,Private,current,659144711.8
2024-2025 (projected),Mexico,Bilateral,current,309607379.65
2024-2025 (projected),Mexico,Multilateral,current,5116707023.45
2024-2025 (projected),Mexico,Private,current,27371065933.1
2024-2025 (projected),Moldova,Bilateral,current,13455531.2
2024-2025 (projected),Moldova,Multilateral,current,295840005.75
2024-2025 (projected),Moldova,Private,current,2139255.6
2024-2025 (projected),Mongolia,Bilateral,current,214126679.6
2024-2025 (projected),Mongolia,China,current,184453503.6
2024-2025 (projected),Mongolia,Multilateral,current,356924365.75
2024-2025 (projected),Mongolia,Private,current,129376061.2
2024-2025 (projected),Montenegro,Bilateral,current,31289261.75
2024-2025 (projected),Montenegro,China,current,135205434.4
2024-2025 (projected),Montenegro,Multilateral,current,105776945.0
2024-2025 (projected),Montenegro,Private,current,366680370.3
2024-2025 (projected),Morocco,Bilateral,current,842563912.95
2024-2025 (projected),Morocco,China,current,50906709.6
2024-2025 (projected),Morocco,Multilateral,current,2862261778.8
2024-2025 (projected),Morocco,Private,current,2507632699.05
2024-2025 (projected),Mozambique,Bilateral,current,267961041.85
2024-2025 (projected),Mozambique,China,current,257556712.2
2024-2025 (projected),Mozambique,Multilateral,current,225291607.9
2024-2025 (projected),Mozambique,Private,current,122247112.1
2024-2025 (projected),Myanmar,Bilateral,current,436698175.15
2024-2025 (projected),Myanmar,China,current,437226081.9
2024-2025 (projected),Myanmar,Multilateral,current,153840496.1
2024-2025 (projected),Myanmar,Private,current,10497.5
2024-2025 (projected),Nepal,Bilateral,current,130945576.1
2024-2025 (projected),Nepal,China,current,44468957.1
2024-2025 (projected),Nepal,Multilateral,current,368691969.2
2024-2025 (projected),Nepal,Private,current,228919.2
2024-2025 (projected),Nicaragua,Bilateral,current,56577494.15
2024-2025 (projected),Nicaragua,China,current,1640004.15
2024-2025 (projected),Nicaragua,Multilateral,current,763342414.9
2024-2025 (projected),Nicaragua,Private,current,944439.4
2024-2025 (projected),Niger,Bilateral,current,49956984.1
2024-2025 (projected),Niger,China,current,20071839.25
2024-2025 (projected),Niger,Multilateral,current,272811448.05
2024-2025 (projected),Niger,Private,current,26278478.6
2024-2025 (projected),Nigeria,Bilateral,current,159556839.25
2024-2025 (projected),Nigeria,China,current,493365467.15
2024-2025 (projected),Nigeria,Multilateral,current,1538472219.0
2024-2025 (projected),Nigeria,Private,current,2167549473.1
2024-2025 (projected),North Macedonia,Bilateral,current,32358155.9
2024-2025 (projected),North Macedonia,China,current,68888047.6
2024-2025 (projected),North Macedonia,Multilateral,current,389850976.05
2024-2025 (projected),North Macedonia,Private,current,778389661.8
2024-2025 (projected),Pakistan,Bilateral,current,5926543729.7
2024-2025 (projected),Pakistan,China,current,5950315156.45
2024-2025 (projected),Pakistan,Multilateral,current,3845849758.15
2024-2025 (projected),Pakistan,Private,current,1463106738.1
2024-2025 (projected),Papua New Guinea,Bilateral,current,243362400.7
2024-2025 (projected),Papua New Guinea,China,current,114951363.6
2024-2025 (projected),Papua New Guinea,Multilateral,current,353176405.4
2024-2025 (projected),Papua New Guinea,Private,current,56980234.0
2024-2025 (projected),Paraguay,Bilateral,current,30196897.4
2024-2025 (projected),Paraguay,Multilateral,current,1009646520.25
2024-2025 (projected),Paraguay,Private,current,338497000.0
2024-2025 (projected),Peru,Bilateral,current,161799205.3
2024-2025 (projected),Peru,Multilateral,current,1358411027.4
2024-2025 (projected),Peru,Private,current,1629674835.0
2024-2025 (projected),Philippines,Bilateral,current,558359718.55
2024-2025 (projected),Philippines,China,current,209204223.25
2024-2025 (projected),Philippines,Multilateral,current,3714240740.95
2024-2025 (projected),Philippines,Private,current,2260153346.85
2024-2025 (projected),Rwanda,Bilateral,current,50541967.6
2024-2025 (projected),Rwanda,China,current,23179051.6
2024-2025 (projected),Rwanda,Multilateral,current,190408466.3
2024-2025 (projected),Rwanda,Private,current,78606062.5
2024-2025 (projected),Samoa,Bilateral,current,1853354.35
2024-2025 (projected),Samoa,China,current,17523221.8
2024-2025 (projected),Samoa,Multilateral,current,12141698.6
2024-2025 (projected),Sao Tome and Principe,Bilateral,current,12497615.6
2024-2025 (projected),Sao Tome and Principe,Multilateral,current,12524594.95
2024-2025 (projected),Sao Tome and Principe,Private,current,2559615.4
2024-2025 (projected),Senegal,Bilateral,current,278249797.0
2024-2025 (projected),Senegal,China,current,202931192.35
2024-2025 (projected),Senegal,Multilateral,current,682343465.2
2024-2025 (projected),Senegal,Private,current,875322303.4
2024-2025 (projected),Serbia,Bilateral,current,891214223.35
2024-2025 (projected),Serbia,China,current,183904289.05
2024-2025 (projected),Serbia,Multilateral,current,914179376.6
2024-2025 (projected),Serbia,Private,current,528661969.25
2024-2025 (projected),Sierra Leone,Bilateral,current,15831506.7
2024-2025 (projected),Sierra Leone,China,current,8072112.65
2024-2025 (projected),Sierra Leone,Multilateral,current,59669254.55
2024-2025 (projected),Solomon Islands,Bilateral,current,2261541.2
2024-2025 (projected),Solomon Islands,China,current,297189.1
2024-2025 (projected),Solomon Islands,Multilateral,current,6816683.35
2024-2025 (projected),Somalia,Bilateral,current,43087024.2
2024-2025 (projected),Somalia,Multilateral,current,15047895.6
2024-2025 (projected),South Africa,Bilateral,current,75485681.0
2024-2025 (projected),South Africa,China,current,405428000.0
2024-2025 (projected),South Africa,Multilateral,current,838726510.9
2024-2025 (projected),South Africa,Private,current,9975028531.7
2024-2025 (projected),Sri Lanka,Bilateral,current,1724065066.7
2024-2025 (projected),Sri Lanka,China,current,1949218426.6
2024-2025 (projected),Sri Lanka,Multilateral,current,1132261143.5
2024-2025 (projected),Sri Lanka,Private,current,2653862231.85
2024-2025 (projected),St. Lucia,Bilateral,current,22437167.9
2024-2025 (projected),St. Lucia,Multilateral,current,28475747.6
2024-2025 (projected),St. Lucia,Private,current,23437555.55
2024-2025 (projected),St. Vincent and the Grenadines,Bilateral,current,9606716.7
2024-2025 (projected),St. Vincent and the Grenadines,China,current,2081000.0
2024-2025 (projected),St. Vincent and the Grenadines,Multilateral,current,38655676.35
2024-2025 (projected),St. Vincent and the Grenadines,Private,current,2102798.15
2024-2025 (projected),Sudan,Bilateral,current,140630648.6
2024-2025 (projected),Sudan,China,current,163473950.9
2024-2025 (projected),Sudan,Multilateral,current,275592150.95
2024-2025 (projected),Suriname,Bilateral,current,27537995.4
2024-2025 (projected),Suriname,China,current,77198309.2
2024-2025 (projected),Suriname,Multilateral,current,152241938.6
2024-2025 (projected),Suriname,Private,current,76095436.1
2024-2025 (projected),Syria,Bilateral,current,24607471.25
2024-2025 (projected),Syria,Multilateral,current,29176171.35
2024-2025 (projected),Syria,Private,current,279012.5
2024-2025 (projected),Tajikistan,Bilateral,current,16533371.45
2024-2025 (projected),Tajikistan,China,current,123075382.25
2024-2025 (projected),Tajikistan,Multilateral,current,178953556.75
2024-2025 (projected),Tajikistan,Private,current,117505983.35
2024-2025 (projected),Tanzania,Bilateral,current,201711993.3
2024-2025 (projected),Tanzania,China,current,270972276.9
2024-2025 (projected),Tanzania,Multilateral,current,645949449.05
2024-2025 (projected),Tanzania,Private,current,1483262810.05
2024-2025 (projected),Thailand,Bilateral,current,226900869.75
2024-2025 (projected),Thailand,Multilateral,current,617555250.3
2024-2025 (projected),Thailand,Private,current,2044482000.0
2024-2025 (projected),Timor-Leste,Bilateral,current,3368821.9
2024-2025 (projected),Timor-Leste,Multilateral,current,30056368.75
2024-2025 (projected),Togo,Bilateral,current,32163361.8
2024-2025 (projected),Togo,China,current,61829024.75
2024-2025 (projected),Togo,Multilateral,current,133984289.45
2024-2025 (projected),Togo,Private,current,53826155.35
2024-2025 (projected),Tonga,China,current,17625136.1
2024-2025 (projected),Tonga,Multilateral,current,3919024.15
2024-2025 (projected),Tunisia,Bilateral,current,1153695004.3
2024-2025 (projected),Tunisia,China,current,7985838.65
2024-2025 (projected),Tunisia,Multilateral,current,1753810810.05
2024-2025 (projected),Tunisia,Private,current,1386417693.2
2024-2025 (projected),Turkmenistan,Bilateral,current,440617133.05
2024-2025 (projected),Turkmenistan,China,current,21141032.75
2024-2025 (projected),Turkmenistan,Multilateral,current,194234479.3
2024-2025 (projected),Turkmenistan,Private,current,209407202.2
2024-2025 (projected),Türkiye,Bilateral,current,1539098553.05
2024-2025 (projected),Türkiye,China,current,274498295.45
2024-2025 (projected),Türkiye,Multilateral,current,3985895120.9
2024-2025 (projected),Türkiye,Private,current,22745002764.75
2024-2025 (projected),Uganda,Bilateral,current,134150981.8
2024-2025 (projected),Uganda,China,current,369654605.4
2024-2025 (projected),Uganda,Multilateral,current,555680230.3
2024-2025 (projected),Uganda,Private,current,137299086.85
2024-2025 (projected),Upper middle income,Bilateral,current,12615333633.85
2024-2025 (projected),Upper middle income,China,current,16531435660.95
2024-2025 (projected),Upper middle income,Multilateral,current,46732313424.25
2024-2025 (projected),Upper middle income,Private,current,132564203018.15
2024-2025 (projected),Uzbekistan,Bilateral,current,430812007.85
2024-2025 (projected),Uzbekistan,China,current,332780964.25
2024-2025 (projected),Uzbekistan,Multilateral,current,1625468650.35
2024-2025 (projected),Uzbekistan,Private,current,783427922.05
2024-2025 (projected),Vanuatu,Bilateral,current,1585913.15
2024-2025 (projected),Vanuatu,China,current,11683834.0
2024-2025 (projected),Vanuatu,Multilateral,current,5895716.6
2024-2025 (projected),Vietnam,Bilateral,current,1901130889.3
2024-2025 (projected),Vietnam,China,current,232694352.15
2024-2025 (projected),Vietnam,Multilateral,current,2113270508.4
2024-2025 (projected),Vietnam,Private,current,1156420960.85
2024-2025 (projected),Yemen,Bilateral,current,204707166.95
2024-2025 (projected),Yemen,China,current,8462851.0
2024-2025 (projected),Yemen,Multilateral,current,286244055.95
2024-2025 (projected),Zambia,Bilateral,current,174457683.5
2024-2025 (projected),Zambia,China,current,703048486.05
2024-2025 (projected),Zambia,Multilateral,current,329283765.1
2024-2025 (projected),Zambia,Private,current,1032096015.05
2024-2025 (projected),Zimbabwe,Bilateral,current,42891185.5
2024-2025 (projected),Zimbabwe,China,current,114542664.5
2024-2025 (projected),Zimbabwe,Multilateral,current,130555645.0
2024-2025 (projected),Zimbabwe,Private,current,615000.0
